web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554659793-1228	https://www.eventbrite.com/d/ma--boston/all-events/?page=2	2019 Annual Tour of the Hidden Gardens of Beacon Hill 2019 Annual Tour of the Hidden Gardens of Beacon Hill	https://www.eventbrite.com/e/2019-annual-tour-of-the-hidden-gardens-of-beacon-hill-tickets-52645938419?aff=ebdssbdestsearch	2019 Annual Tour of the Hidden Gardens of Beacon Hill	"Thu, May 16, 2019"	9:00 AM – 5:00 PM EDT	Corner of Charles and Mt. Vernon streets	$50 – $60	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Tour""},{""tags"":""Charity & Causes""}]"							
1554659496-1195	https://www.eventbrite.com/d/ma--boston/all-events/?page=35	"MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019 MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019"	https://www.eventbrite.com/e/mcmpa-2009-harvard-kennedy-school-reunion-dinner-may-18-2019-tickets-59023337391?aff=ebdssbdestsearch	"MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019"	"Sat, May 18, 2019"	7:00 PM – 10:00 PM EDT	Parish Hall	$55 	"[{""tags"":""Things to do in Cambridge, MA""}]"							
1554659765-1225	https://www.eventbrite.com/d/ma--boston/all-events/?page=5	Mission Hill Easter Egg HuntMission Hill Easter Egg Hunt	https://www.eventbrite.com/e/mission-hill-easter-egg-hunt-tickets-58446087822?aff=ebdssbdestsearch	Mission Hill Easter Egg Hunt	"Sun, April 21, 2019"	9:30 AM – 11:30 AM EDT	239 Parker Hill Avenue	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Festival""},{""tags"":""Holiday""}]"							
1554659729-1221	https://www.eventbrite.com/d/ma--boston/all-events/?page=9	Donation Yoga Class for the Lemay FamilyDonation Yoga Class for the Lemay Family	https://www.eventbrite.com/e/donation-yoga-class-for-the-lemay-family-tickets-59078418139?aff=ebdssbdestsearch	Donation Yoga Class for the Lemay Family	"Sun, April 7, 2019"	2:00 PM – 3:00 PM EDT	40 Berkeley Street	Donation	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Health""}]"							
1554659411-1186	https://www.eventbrite.com/d/ma--boston/all-events/?page=44	Core and Backbends: a yoga series with Anne PatrickCore and Backbends: a yoga series with Anne Patrick	https://www.eventbrite.com/e/core-and-backbends-a-yoga-series-with-anne-patrick-tickets-59130805832?aff=ebdssbdestsearch	Core and Backbends: a yoga series with Anne Patrick	"Thu, May 23, 2019"	6:00 PM – 8:00 PM EDT	140 Guest Street	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Sports & Fitness""}]"							
1554659656-1213	https://www.eventbrite.com/d/ma--boston/all-events/?page=17	Ipsa Dixit: Operatic Beer ExperienceIpsa Dixit: Operatic Beer Experience	https://www.eventbrite.com/e/ipsa-dixit-operatic-beer-experience-tickets-55726521526?aff=ebdssbdestsearch	Ipsa Dixit: Operatic Beer Experience	"Fri, April 12, 2019"	7:30 PM – 10:30 PM EDT	17 Station Street	$10 – $25	"[{""tags"":""Things to do in Brookline, MA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554659523-1198	https://www.eventbrite.com/d/ma--boston/all-events/?page=32	"Hideout Comedy @ The White Bull (Friday, 7.30PM) Hideout Comedy @ The White Bull (Friday, 7.30PM)"	https://www.eventbrite.com/e/hideout-comedy-the-white-bull-friday-730pm-tickets-59711285061?aff=ebdssbdestsearch	"Hideout Comedy @ The White Bull (Friday, 7.30PM)"	"Fri, April 12, 2019"	7:30 PM – 9:30 PM EDT	1 Union Street	$10 	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Performance""},{""tags"":""Arts""}]"							
1554659401-1185	https://www.eventbrite.com/d/ma--boston/all-events/?page=45	Run for Peace: Supporting One World Marathon!Run for Peace: Supporting One World Marathon!	https://www.eventbrite.com/e/run-for-peace-supporting-one-world-marathon-tickets-59135329362?aff=ebdssbdestsearch	Run for Peace: Supporting One World Marathon!	"Sun, April 14, 2019"	10:30 AM – 1:00 PM EDT	840 Commonwealth Avenue	Free	"[{""tags"":""Things to do in Brookline, MA""},{""tags"":""Race""},{""tags"":""Sports & Fitness""}]"							
1554659567-1203	https://www.eventbrite.com/d/ma--boston/all-events/?page=27	Boston Insurtech Startup ShowcaseBoston Insurtech Startup Showcase	https://www.eventbrite.com/e/boston-insurtech-startup-showcase-tickets-58439696706?aff=ebdssbdestsearch	Boston Insurtech Startup Showcase	"Tue, April 16, 2019"	5:00 PM – 7:00 PM EDT	695 Atlantic Avenue	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Networking""},{""tags"":""Business""}]"							
1554659783-1227	https://www.eventbrite.com/d/ma--boston/all-events/?page=3	2019 Making Waves with The Tide2019 Making Waves with The Tide	https://www.eventbrite.com/e/2019-making-waves-with-the-tide-tickets-56132982261?aff=ebdssbdestsearch	2019 Making Waves with The Tide	"Thu, April 11, 2019"	6:00 PM – 9:00 PM EDT	1 Central Wharf	$30 – $45	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Party""},{""tags"":""Charity & Causes""}]"							
