web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554597156-920	https://www.eventbrite.com/d/il--chicago/all-events/?page=43	Finally Friday Happy Hour @DrinkHaus Supper ClubFinally Friday Happy Hour @DrinkHaus Supper Club	https://www.eventbrite.com/e/finally-friday-happy-hour-drinkhaus-supper-club-tickets-58336664534?aff=ebdssbdestsearch	Finally Friday Happy Hour @DrinkHaus Supper Club	"Fri, Apr 5, 2019, 5:00 PM CDT"		820 West Jackson Boulevard	Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Music""}]"							
1554599623-969	https://www.eventbrite.com/d/il--chicago/all-events/?page=22	Acid Mothers Temple / Yamantaka // Sonic Titan @ The Empty BottleAcid Mothers Temple / Yamantaka // Sonic Titan @ The Empty Bottle	https://www.eventbrite.com/e/acid-mothers-temple-yamantaka-sonic-titan-the-empty-bottle-tickets-52425027669?aff=ebdssbdestsearch	Acid Mothers Temple / Yamantaka // Sonic Titan @ The Empty Bottle	"Sat, April 13, 2019"	Doors at 8:30 PM CDT	"View Map
									View Map"	$12 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Music""}]"							
1554601305-987	https://www.eventbrite.com/d/il--chicago/all-events/?page=8	Midwest Real Estate Networking SummitMidwest Real Estate Networking Summit	https://www.eventbrite.com/e/midwest-real-estate-networking-summit-tickets-52763487010?aff=ebdssbdestsearch	Midwest Real Estate Networking Summit	"Sat, Jun 1, 2019, 8:00 AM –"	"Sun, Jun 2, 2019, 5:00 PM CDT"	Refunds up to 7 days before event	$199 – $399	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554599142-956	https://www.eventbrite.com/d/il--chicago/all-events/?page=26	Holly Herndon @ Thalia HallHolly Herndon @ Thalia Hall	https://www.eventbrite.com/e/holly-herndon-thalia-hall-tickets-58395749258?aff=ebdssbdestsearch	Holly Herndon @ Thalia Hall	"Wed, May 22, 2019"	Doors at 7:30 PM CDT	United States	$25 – $35	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Music""}]"							
1554600464-976	https://www.eventbrite.com/d/il--chicago/all-events/?page=15	Can Chicago Kick It?Can Chicago Kick It?	https://www.eventbrite.com/e/can-chicago-kick-it-tickets-59551878271?aff=ebdssbdestsearch	Can Chicago Kick It?	"Sat, April 20, 2019"	3:00 PM – 8:00 PM CDT	No Refunds	$0 – $50	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554601425-988	https://www.eventbrite.com/d/il--chicago/all-events/?page=7	JB Smoove @ Thalia HallJB Smoove @ Thalia Hall	https://www.eventbrite.com/e/jb-smoove-thalia-hall-tickets-50714423205?aff=ebdssbdestsearch	JB Smoove @ Thalia Hall	"Fri, July 12, 2019"	Doors at 7:00 PM CDT	Thalia Hall	$28 – $78	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Film & Media""}]"							
1554601665-994	https://www.eventbrite.com/d/il--chicago/all-events/?page=5	GirlTrek Presents: Radical Teach-In & Wellness Revival- ChicagoGirlTrek Presents: Radical Teach-In & Wellness Revival- Chicago	https://www.eventbrite.com/e/girltrek-presents-radical-teach-in-wellness-revival-chicago-tickets-45861142913?aff=ebdssbdestsearch	GirlTrek Presents: Radical Teach-In & Wellness Revival- Chicago	"Sat, April 6, 2019"	6:00 PM – 9:00 PM CDT		Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Class""},{""tags"":""Health""}]"							
1554598902-948	https://www.eventbrite.com/d/il--chicago/all-events/?page=28	Jazzin  In BronzevilleJazzin  In Bronzeville	https://www.eventbrite.com/e/jazzin-in-bronzeville-tickets-52773435767?aff=ebdssbdestsearch	Jazzin  In Bronzeville	"Fri, April 26, 2019"	7:00 PM – 11:00 PM CDT	Corpus Christi Hall	$0 – $15	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554600704-978	https://www.eventbrite.com/d/il--chicago/all-events/?page=13	Russell Howard @ Thalia HallRussell Howard @ Thalia Hall	https://www.eventbrite.com/e/russell-howard-thalia-hall-tickets-57840394176?aff=ebdssbdestsearch	Russell Howard @ Thalia Hall	"Fri, May 8, 2020"	Doors at 6:30 PM CDT	No Refunds	$32.50 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Film & Media""}]"							
1554601065-981	https://www.eventbrite.com/d/il--chicago/all-events/?page=10	2019 RED Awards2019 RED Awards	https://www.eventbrite.com/e/2019-red-awards-registration-55661709672?aff=ebdssbdestsearch	2019 RED Awards	"Thu, May 30, 2019"	6:00 PM – 9:00 PM CDT		$40 – $135	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Game""},{""tags"":""Business""}]"							
