web-scraper-order,web-scraper-start-url,url,url-href,title,date,time,venue,price,tags
"1554659148-1162","https://www.eventbrite.com/d/ny--new-york/all-events/?page=19","Activate The Trap! Vol. 3Activate The Trap! Vol. 3","https://www.eventbrite.com/e/activate-the-trap-vol-3-tickets-56018573060?aff=ebdssbdestsearch","Activate The Trap! Vol. 3","Sun, Apr 21, 2019, 6:00 PM –","Mon, Apr 22, 2019, 12:00 AM EDT","857 Atlantic Avenue","$10","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554659170-1164","https://www.eventbrite.com/d/ny--new-york/all-events/?page=17","Dark Funeral, Belphegor w/ Incantation, Hate, Vale of Pnath and  NightmarerDark Funeral, Belphegor w/ Incantation, Hate, Vale of Pnath and  Nightmarer","https://www.eventbrite.com/e/dark-funeral-belphegor-w-incantation-hate-vale-of-pnath-and-nightmarer-tickets-56118769751?aff=ebdssbdestsearch","Dark Funeral, Belphegor w/ Incantation, Hate, Vale of Pnath and  Nightmarer","Sun, June 2, 2019","5:00 PM – 11:30 PM EDT","150 Greenpoint Avenue","$25 – $30","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554658967-1142","https://www.eventbrite.com/d/ny--new-york/all-events/?page=39","CINCO de JAB-O CINCO de JAB-O","https://www.eventbrite.com/e/cinco-de-jab-o-tickets-55559556128?aff=ebdssbdestsearch","CINCO de JAB-O","Sun, May 5, 2019","11:00 AM – 7:00 PM EDT","New York, NY","$25 – $50","[{""tags"":""Things to do in New York, NY""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554659226-1171","https://www.eventbrite.com/d/ny--new-york/all-events/?page=10","Nicole ByerNicole Byer","https://www.eventbrite.com/e/nicole-byer-tickets-56131082579?aff=ebdssbdestsearch","Nicole Byer","Thu, Apr 11, 2019, 8:00 PM EDT","","149 7th Street","$20 – $40","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554658907-1134","https://www.eventbrite.com/d/ny--new-york/all-events/?page=47","Beer Festival at Dekalb Market! Crawl at the Hall!Beer Festival at Dekalb Market! Crawl at the Hall!","https://www.eventbrite.com/e/beer-festival-at-dekalb-market-crawl-at-the-hall-tickets-58376862768?aff=ebdssbdestsearch","Beer Festival at Dekalb Market! Crawl at the Hall!","Sun, April 7, 2019","2:00 PM – 5:00 PM EDT","445 Albee Square West","$35 – $50","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"
"1554659125-1160","https://www.eventbrite.com/d/ny--new-york/all-events/?page=21","Burgers, Bourbon, & BeethovenBurgers, Bourbon, & Beethoven","https://www.eventbrite.com/e/burgers-bourbon-beethoven-tickets-58788336497?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554659187-1166","https://www.eventbrite.com/d/ny--new-york/all-events/?page=15","Cokie the Clown and the Fentanyls @ Brooklyn BazaarCokie the Clown and the Fentanyls @ Brooklyn Bazaar","https://www.eventbrite.com/e/cokie-the-clown-and-the-fentanyls-brooklyn-bazaar-tickets-59503781412?aff=ebdssbdestsearch","Cokie the Clown and the Fentanyls @ Brooklyn Bazaar","Fri, Apr 26, 2019, 8:00 PM EDT","","150 Greenpoint Ave","$50 – $100","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554659219-1170","https://www.eventbrite.com/d/ny--new-york/all-events/?page=11","USA Trade Tasting Visitor Registration Portal - New York, 2019USA Trade Tasting Visitor Registration Portal - New York, 2019","https://www.eventbrite.com/e/usa-trade-tasting-visitor-registration-portal-new-york-2019-registration-46752442815?aff=ebdssbdestsearch","USA Trade Tasting Visitor Registration Portal - New York, 2019","Mon, May 13, 2019, 11:00 AM –","Tue, May 14, 2019, 5:00 PM EDT","125 W 18th St","$0 – $299","[{""tags"":""Things to do in New York, NY""},{""tags"":""Expo""},{""tags"":""Food & Drink""}]"
"1554659195-1167","https://www.eventbrite.com/d/ny--new-york/all-events/?page=14","PATRON MANIA NYC  PATRON MANIA NYC","https://www.eventbrite.com/e/patron-mania-nyc-tickets-58047651087?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554659136-1161","https://www.eventbrite.com/d/ny--new-york/all-events/?page=20","The Laithwaite's Wine 2019 Spring TastingThe Laithwaite's Wine 2019 Spring Tasting","https://www.eventbrite.com/e/the-laithwaites-wine-2019-spring-tasting-tickets-53687068467?aff=ebdssbdestsearch","The Laithwaite's Wine 2019 Spring Tasting","Fri, May 3, 2019","1:00 PM – 4:00 PM EDT","155 Varick Street","$39.10 – $49","[{""tags"":""Things to do in New York, NY""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"
"1554658936-1138","https://www.eventbrite.com/d/ny--new-york/all-events/?page=43","Bad Gyal / Ms Nina @ Elsewhere (Hall)Bad Gyal / Ms Nina @ Elsewhere (Hall)","https://www.eventbrite.com/e/bad-gyal-ms-nina-elsewhere-hall-tickets-56344299316?aff=ebdssbdestsearch","Bad Gyal / Ms Nina @ Elsewhere (Hall)","Fri, July 12, 2019","Doors at 7:00 PM EDT","599 Johnson Avenue","$20 – $25","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Music""}]"
"1554659091-1157","https://www.eventbrite.com/d/ny--new-york/all-events/?page=24","REDInNYC Real Estate Networking EventREDInNYC Real Estate Networking Event","https://www.eventbrite.com/e/redinnyc-real-estate-networking-event-tickets-54939674044?aff=ebdssbdestsearch","REDInNYC Real Estate Networking Event","Thu, April 11, 2019","6:00 PM – 10:00 PM EDT","355 west 16th street","$28.99 – $48.99","[{""tags"":""Things to do in New York, NY""}]"
"1554659054-1153","https://www.eventbrite.com/d/ny--new-york/all-events/?page=28","2019 Knowledge Graph Conference2019 Knowledge Graph Conference","https://www.eventbrite.com/e/2019-knowledge-graph-conference-tickets-54867900367?aff=ebdssbdestsearch","2019 Knowledge Graph Conference","Tue, May 7, 2019, 8:00 AM –","Wed, May 8, 2019, 5:00 PM EDT","New York, NY 10027","$450","[{""tags"":""Things to do in New York, NY""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554659159-1163","https://www.eventbrite.com/d/ny--new-york/all-events/?page=18","HOLI IN THE CITY : Sat April 27 - NYC's Biggest Festival of Colors PartyHOLI IN THE CITY : Sat April 27 - NYC's Biggest Festival of Colors Party","https://www.eventbrite.com/e/holi-in-the-city-sat-april-27-nycs-biggest-festival-of-colors-party-tickets-58963087181?aff=ebdssbdestsearch","HOLI IN THE CITY : Sat April 27 - NYC's Biggest Festival of Colors Party","Sat, April 27, 2019","1:01 PM – 8:00 PM EDT","605 West 48th Street","$25 – $39","[{""tags"":""Things to do in New York, NY""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554659285-1179","https://www.eventbrite.com/d/ny--new-york/all-events/?page=2","Shhh...The MatrixShhh...The Matrix","https://www.eventbrite.com/e/shhhthe-matrix-tickets-57622857518?aff=ebdssbdestsearch","Shhh...The Matrix","Mon, May 27, 2019","12:00 PM – 8:00 PM EDT","Brooklyn, NY 11216","$40 – $60","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Festival""},{""tags"":""Music""}]"
"1554659012-1148","https://www.eventbrite.com/d/ny--new-york/all-events/?page=33","Janeane Garofalo Has GuestsJaneane Garofalo Has Guests","https://www.eventbrite.com/e/janeane-garofalo-has-guests-tickets-58738756201?aff=ebdssbdestsearch","Janeane Garofalo Has Guests","Sun, April 7, 2019","6:30 PM – 11:00 PM EDT","635 Sackett Street","$8 – $10","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554659037-1151","https://www.eventbrite.com/d/ny--new-york/all-events/?page=30","The Great Migration: Searching for Freedom, Finding InjusticeThe Great Migration: Searching for Freedom, Finding Injustice","https://www.eventbrite.com/e/the-great-migration-searching-for-freedom-finding-injustice-tickets-57056977957?aff=ebdssbdestsearch","The Great Migration: Searching for Freedom, Finding Injustice","Wed, April 10, 2019","6:00 PM – 8:00 PM EDT","NYU School of Law","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Seminar""},{""tags"":""Government""}]"
"1554658960-1141","https://www.eventbrite.com/d/ny--new-york/all-events/?page=40","The Mooney SuzukiThe Mooney Suzuki","https://www.eventbrite.com/e/the-mooney-suzuki-tickets-59332487066?aff=ebdssbdestsearch","The Mooney Suzuki","Fri, Jul 19, 2019, 7:30 PM EDT","","217 E. Houston St","$20","[{""tags"":""Things to do in New York, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554659264-1176","https://www.eventbrite.com/d/ny--new-york/all-events/?page=5","E^HACKATHON | New York CityE^HACKATHON | New York City","https://www.eventbrite.com/e/ehackathon-new-york-city-registration-53739902495?aff=ebdssbdestsearch","E^HACKATHON | New York City","Tue, April 16, 2019","8:00 AM – 5:00 PM EDT","75 Wall St","$1,200","[{""tags"":""Things to do in New York City, NY""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554659045-1152","https://www.eventbrite.com/d/ny--new-york/all-events/?page=29","MajorStage Presents: Dylan St. John Live @ SOBS (Early Show)MajorStage Presents: Dylan St. John Live @ SOBS (Early Show)","https://www.eventbrite.com/e/majorstage-presents-dylan-st-john-live-sobs-early-show-tickets-58877195276?aff=ebdssbdestsearch","MajorStage Presents: Dylan St. John Live @ SOBS (Early Show)","Tue, April 16, 2019","7:00 PM – 10:00 PM EDT","204 Varick Street","$15","[{""tags"":""Things to do in New York, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554659233-1172","https://www.eventbrite.com/d/ny--new-york/all-events/?page=9","Ascent Conference 2019Ascent Conference 2019","https://www.eventbrite.com/e/ascent-conference-2019-tickets-52369029176?aff=ebdssbdestsearch","Ascent Conference 2019","Mon, Oct 7, 2019, 9:00 AM –","Tue, Oct 8, 2019, 4:30 PM EDT","New York, NY 10005","$95 – $895","[{""tags"":""Things to do in New York, NY""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554658893-1132","https://www.eventbrite.com/d/ny--new-york/all-events/?page=49","HOT 97 DJ YOUNG CHOW INVADES ""FETE SATURDAY "" LADIES FREE ALL NIGHT  W/ RSVPHOT 97 DJ YOUNG CHOW INVADES ""FETE SATURDAY "" LADIES FREE ALL NIGHT  W/ RSV...","https://www.eventbrite.com/e/hot-97-dj-young-chow-invades-fete-saturday-ladies-free-all-night-w-rsvp-tickets-39671278863?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554658998-1146","https://www.eventbrite.com/d/ny--new-york/all-events/?page=35","2019 Youth Summit2019 Youth Summit","https://www.eventbrite.com/e/2019-youth-summit-registration-55524507296?aff=ebdssbdestsearch","2019 Youth Summit","Thu, June 6, 2019","8:00 AM – 5:00 PM EDT","522 West 44th Street","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Conference""},{""tags"":""Charity & Causes""}]"
